"id","space_id","device_info_id","created_at","updated_at"
"1703","140","9","25/12/2018 12:43:54","25/12/2018 12:43:54"
"1704","140","14","25/12/2018 12:43:54","25/12/2018 12:43:54"
"1705","140","15","25/12/2018 12:43:54","25/12/2018 12:43:54"
"1741","146","2","1/2/2019 06:26:36","1/2/2019 06:26:36"
"1742","146","14","1/2/2019 06:26:36","1/2/2019 06:26:36"
"1743","146","15","1/2/2019 06:26:36","1/2/2019 06:26:36"
"1744","147","2","1/2/2019 06:26:43","1/2/2019 06:26:43"
"1745","147","14","1/2/2019 06:26:43","1/2/2019 06:26:43"
"1746","147","15","1/2/2019 06:26:43","1/2/2019 06:26:43"
"1747","148","2","1/2/2019 06:26:47","1/2/2019 06:26:47"
"1748","148","9","1/2/2019 06:26:47","1/2/2019 06:26:47"
"1749","148","14","1/2/2019 06:26:47","1/2/2019 06:26:47"
"1750","148","15","1/2/2019 06:26:47","1/2/2019 06:26:47"
"1751","144","2","1/2/2019 06:27:01","1/2/2019 06:27:01"
"1752","144","14","1/2/2019 06:27:01","1/2/2019 06:27:01"
"1753","144","15","1/2/2019 06:27:01","1/2/2019 06:27:01"
"1947","145","2","22/2/2019 10:24:12","22/2/2019 10:24:12"
"1948","145","9","22/2/2019 10:24:12","22/2/2019 10:24:12"
"1949","145","14","22/2/2019 10:24:12","22/2/2019 10:24:12"
"1950","145","15","22/2/2019 10:24:12","22/2/2019 10:24:12"
"1979","18","2","12/3/2019 14:02:53","12/3/2019 14:02:53"
"1980","18","13","12/3/2019 14:02:53","12/3/2019 14:02:53"
"1981","18","14","12/3/2019 14:02:53","12/3/2019 14:02:53"
"1982","18","15","12/3/2019 14:02:53","12/3/2019 14:02:53"
"2000","166","2","28/3/2019 16:36:14","28/3/2019 16:36:14"
"2001","166","14","28/3/2019 16:36:14","28/3/2019 16:36:14"
"2002","166","15","28/3/2019 16:36:14","28/3/2019 16:36:14"
"2003","167","2","28/3/2019 16:36:19","28/3/2019 16:36:19"
