id,order_id,space_id,score,can,comment,created_at,updated_at,activity,is_pay,people
3214,95485,133,7,1,桌子桌角其實不適合擺六張椅子  讓坐的人會不舒適。建議未來更換適合桌型,05MAR19:18:33:28,05MAR19:18:33:28,1,0,2
3215,95185,24,5,1,空間可能使用久了 內部裝潢已經不如照片上預期的光鮮 斑駁許多 建議可重新粉刷,05MAR19:23:00:35,05MAR19:23:00:35,1,0,4
3216,95434,157,8,0,,06MAR19:09:52:48,06MAR19:09:52:48,19,0,1
3217,94626,127,8,0,光線偏黃，且光源會集中在某處，不會自然均勻散布在整個空間。,06MAR19:12:55:10,06MAR19:12:55:10,13,0,1
3218,94624,127,8,0,我是使用在視訊面試，室內光線比較偏黃，且光源沒有均勻散布，在視覺上不太像會議室，比較像咖啡店或餐廳，光線不夠也不太適合辦公,06MAR19:12:56:46,06MAR19:12:56:46,19,0,1
3219,95046,127,8,1,,06MAR19:14:20:38,06MAR19:14:20:38,1,0,3
3220,93043,102,7,1,,06MAR19:14:47:58,06MAR19:14:47:58,3,0,2
3221,95711,144,8,0,,06MAR19:18:36:10,06MAR19:18:36:10,11,0,3
3222,95393,138,10,1,,06MAR19:18:41:18,06MAR19:18:41:18,14,0,12
3223,92641,138,7,1,有很多施工的打擊聲..冷氣也很大聲?,06MAR19:18:42:32,06MAR19:18:42:32,3,0,7
3224,95898,19,7,1,附近的車聲比較大，如果是錄影、直播或其他需要安靜一點的用途，就不會推薦這間，撇除聲音，環境空間與衛生都是很好的。整個預定、使用流程方便且快速~,06MAR19:18:52:05,06MAR19:18:52:05,3,0,5
3225,95785,144,6,0,我覺得有這個空間可以租借對於要討論事情、家教、面試的人都非常方便，所以以後有朋友問到的話，我也很願意推薦；但是，建議在會議室內安裝房內安全鎖，或者是附上請勿打擾租借到幾點的牌子，因為我總共遇到2次有人....，一次是一個阿伯直接有密碼開門進來，一次是有人記錯間....，我自己在裡面覺得有點可怕...。,06MAR19:21:10:40,06MAR19:21:10:40,18,0,1
3226,95142,82,5,1,空間還不錯，但是外部隔音不好，後巷的設備噪音一直傳進來,07MAR19:09:10:49,07MAR19:09:10:49,1,0,2
3227,95229,129,7,1,隔音不佳,07MAR19:09:33:14,07MAR19:09:33:14,7,1,6
3228,94524,131,10,1,,07MAR19:10:33:08,07MAR19:10:33:08,19,0,3
3229,94524,131,10,0,,07MAR19:10:33:09,07MAR19:10:33:09,19,0,3
3230,94496,116,9,1,,07MAR19:18:49:18,07MAR19:18:49:18,6,1,2
3231,94814,161,10,1,,07MAR19:20:46:39,07MAR19:20:46:39,19,0,2
3232,93930,132,7,1,很多白板筆都快沒水了，寫一兩個字就乾了。希望能維持品質。,07MAR19:23:25:02,07MAR19:23:25:02,1,0,2
